Event	ID	Name			Wwise Object Path	Notes
	2425105230	Base_House_Environment_Play			\Default Work Unit\Env\Base_House\Base_House_Environment_Play	
	3468220976	Base_House_Environment_Stop			\Default Work Unit\Env\Base_House\Base_House_Environment_Stop	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	5785313	env_BASE_houseCreakLarge5	G:\Documents\GitHub\Manor_Wwise_Project\Manor_Wwise_Project\.cache\Windows\SFX\env_BASE_houseCreakLarge5_10C4C929.wem		\Actor-Mixer Hierarchy\ENVIRONMENT\HOUSE_MASTER\Base_House_Environment\Base_House_Creak_Large\env_BASE_houseCreakLarge5		700760
	23874524	env_BASE_houseCreakLarge4	G:\Documents\GitHub\Manor_Wwise_Project\Manor_Wwise_Project\.cache\Windows\SFX\env_BASE_houseCreakLarge4_10C4C929.wem		\Actor-Mixer Hierarchy\ENVIRONMENT\HOUSE_MASTER\Base_House_Environment\Base_House_Creak_Large\env_BASE_houseCreakLarge4		1125296
	25386790	env_BASE_houseCreakLarge1	G:\Documents\GitHub\Manor_Wwise_Project\Manor_Wwise_Project\.cache\Windows\SFX\env_BASE_houseCreakLarge1_10C4C929.wem		\Actor-Mixer Hierarchy\ENVIRONMENT\HOUSE_MASTER\Base_House_Environment\Base_House_Creak_Large\env_BASE_houseCreakLarge1		1248080
	138464293	env_BASE_houseCreakLarge3	G:\Documents\GitHub\Manor_Wwise_Project\Manor_Wwise_Project\.cache\Windows\SFX\env_BASE_houseCreakLarge3_10C4C929.wem		\Actor-Mixer Hierarchy\ENVIRONMENT\HOUSE_MASTER\Base_House_Environment\Base_House_Creak_Large\env_BASE_houseCreakLarge3		1114644
	144196421	env_Base_houseWindGust_07	G:\Documents\GitHub\Manor_Wwise_Project\Manor_Wwise_Project\.cache\Windows\SFX\env_Base_houseWindGust_07_10C4C929.wem		\Actor-Mixer Hierarchy\ENVIRONMENT\HOUSE_MASTER\Base_House_Environment\Base_House_Wind_Gust\env_Base_houseWindGust_07		1654892
	361840338	env_Base_houseWindGust_02	G:\Documents\GitHub\Manor_Wwise_Project\Manor_Wwise_Project\.cache\Windows\SFX\env_Base_houseWindGust_02_10C4C929.wem		\Actor-Mixer Hierarchy\ENVIRONMENT\HOUSE_MASTER\Base_House_Environment\Base_House_Wind_Gust\env_Base_houseWindGust_02		2130104
	374666498	env_Base_houseWindGust_01	G:\Documents\GitHub\Manor_Wwise_Project\Manor_Wwise_Project\.cache\Windows\SFX\env_Base_houseWindGust_01_10C4C929.wem		\Actor-Mixer Hierarchy\ENVIRONMENT\HOUSE_MASTER\Base_House_Environment\Base_House_Wind_Gust\env_Base_houseWindGust_01		1558684
	482659483	env_Base_houseWindGust_03	G:\Documents\GitHub\Manor_Wwise_Project\Manor_Wwise_Project\.cache\Windows\SFX\env_Base_houseWindGust_03_10C4C929.wem		\Actor-Mixer Hierarchy\ENVIRONMENT\HOUSE_MASTER\Base_House_Environment\Base_House_Wind_Gust\env_Base_houseWindGust_03		2072336
	509444671	env_BASE_houseCreakLarge2	G:\Documents\GitHub\Manor_Wwise_Project\Manor_Wwise_Project\.cache\Windows\SFX\env_BASE_houseCreakLarge2_10C4C929.wem		\Actor-Mixer Hierarchy\ENVIRONMENT\HOUSE_MASTER\Base_House_Environment\Base_House_Creak_Large\env_BASE_houseCreakLarge2		961504
	585797064	env_House_Base_Loop	G:\Documents\GitHub\Manor_Wwise_Project\Manor_Wwise_Project\.cache\Windows\SFX\env_House_Base_Loop_D79FB2B7.wem		\Actor-Mixer Hierarchy\ENVIRONMENT\HOUSE_MASTER\Base_House_Environment\Base_House_Loop\env_House_Base_Loop		10295304
	682025772	env_Base_houseWindGust_06	G:\Documents\GitHub\Manor_Wwise_Project\Manor_Wwise_Project\.cache\Windows\SFX\env_Base_houseWindGust_06_10C4C929.wem		\Actor-Mixer Hierarchy\ENVIRONMENT\HOUSE_MASTER\Base_House_Environment\Base_House_Wind_Gust\env_Base_houseWindGust_06		1915388
	756475791	env_Base_houseWindGust_08	G:\Documents\GitHub\Manor_Wwise_Project\Manor_Wwise_Project\.cache\Windows\SFX\env_Base_houseWindGust_08_10C4C929.wem		\Actor-Mixer Hierarchy\ENVIRONMENT\HOUSE_MASTER\Base_House_Environment\Base_House_Wind_Gust\env_Base_houseWindGust_08		1454156
	761908921	env_Base_houseWindGust_04	G:\Documents\GitHub\Manor_Wwise_Project\Manor_Wwise_Project\.cache\Windows\SFX\env_Base_houseWindGust_04_10C4C929.wem		\Actor-Mixer Hierarchy\ENVIRONMENT\HOUSE_MASTER\Base_House_Environment\Base_House_Wind_Gust\env_Base_houseWindGust_04		1299532
	1007089441	env_Base_houseWindGust_05	G:\Documents\GitHub\Manor_Wwise_Project\Manor_Wwise_Project\.cache\Windows\SFX\env_Base_houseWindGust_05_10C4C929.wem		\Actor-Mixer Hierarchy\ENVIRONMENT\HOUSE_MASTER\Base_House_Environment\Base_House_Wind_Gust\env_Base_houseWindGust_05		1246176
	1028042123	env_BASE_houseCreakLarge6	G:\Documents\GitHub\Manor_Wwise_Project\Manor_Wwise_Project\.cache\Windows\SFX\env_BASE_houseCreakLarge6_10C4C929.wem		\Actor-Mixer Hierarchy\ENVIRONMENT\HOUSE_MASTER\Base_House_Environment\Base_House_Creak_Large\env_BASE_houseCreakLarge6		1008128

